"","student_id","course_id","timestamp","url","assignment_id","quiz_id","discussion_id","web_application_action","web_application_controller","course_name","title.disc","posted_at","message","title.assig","due_at","scoring_policy","name","quiz_type","canvas_id2"
"1","A",10456,"2024-03-20 13:48:21","/courses/10456/assignments/476",476,NA,NA,"show","assignments","Biology",NA,NA,NA,"Final presentation slides","2024-04-20 23:59:59",NA,NA,NA,NA
"2","A",10456,"2024-03-20 13:48:26","/courses/10456/assignments/476",476,NA,NA,"show","assignments","Biology",NA,NA,NA,"Final presentation slides","2024-04-20 23:59:59",NA,NA,NA,NA
"3","B",10456,"2024-03-25 08:20:56","/api/v1/courses/10456/quizzes/798/submissions?per_page=100",NA,"798",NA,"index","quizzes/quiz_submission_api","Biology",NA,NA,NA,NA,NA,"keep_average","The human brain and its flaws","graded_survey","798"
"4","C",10987,"2024-07-30 08:19:04","/courses/10987/discussion_topics/2356",NA,NA,2356,"create","discussion_topics","Metaphysics","CAN SOMEONE HELP ME?","2024-08-20 23:59:59","I am so confused about the homework! Why is the metaphysics professors (great guy btw) asking us if metaphysics is real? Would anyone sign up for a course if they don't believe the subject actually exist? Coule this be a trick question? I really need to pass this otherwise I need to move back with my parents and that is unnaceptable",NA,NA,NA,NA,NA,NA
"5","D",10987,"2024-08-15 11:27:24","/courses/10987/discussion_topics/2356",NA,NA,2356,"show","discussion_topics","Metaphysics","CAN SOMEONE HELP ME?","2024-08-20 23:59:59","I am so confused about the homework! Why is the metaphysics professors (great guy btw) asking us if metaphysics is real? Would anyone sign up for a course if they don't believe the subject actually exist? Coule this be a trick question? I really need to pass this otherwise I need to move back with my parents and that is unnaceptable",NA,NA,NA,NA,NA,NA
"6","A",16628,"2024-08-17 11:27:24","/courses/16628/discussion_topics/2478",NA,NA,2478,"show","discussion_topics","Psychology","Extra points for extra work","2024-09-15 16:30:00","Dear students, I hope the exam went great! I just wanted to let you know that I will be giving extra homework if you solve and send me the exercises under the ""Optional work"" module in Canvas. If the exam was rough, this might help you. Have a nice weekend!",NA,NA,NA,NA,NA,NA
"7","A",16628,"2024-08-17 11:27:24","/courses/16628/ping",NA,NA,NA,"ping","courses","Psychology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","A",16628,"2024-08-17 11:27:24","/courses/16628/ping",NA,NA,NA,"ping","courses","Psychology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","B",16628,"2024-08-18 12:27:24","/courses/16628/discussion_topics/2478",NA,NA,2478,"show","discussion_topics","Psychology","Extra points for extra work","2024-09-15 16:30:00","Dear students, I hope the exam went great! I just wanted to let you know that I will be giving extra homework if you solve and send me the exercises under the ""Optional work"" module in Canvas. If the exam was rough, this might help you. Have a nice weekend!",NA,NA,NA,NA,NA,NA
"10","D",16628,"2024-08-21 16:30:02","/courses/16628/discussion_topics/2478",NA,NA,2478,"show","discussion_topics","Psychology","Extra points for extra work","2024-09-15 16:30:00","Dear students, I hope the exam went great! I just wanted to let you know that I will be giving extra homework if you solve and send me the exercises under the ""Optional work"" module in Canvas. If the exam was rough, this might help you. Have a nice weekend!",NA,NA,NA,NA,NA,NA
"11","D",16628,"2024-08-21 16:30:03","/api/v1/courses/16628/discussion_topics/2478/entries/98013/read?forced_read_state=0",NA,NA,2478,"mark_entry_read","discussion_topics_api","Psychology","Extra points for extra work","2024-09-15 16:30:00","Dear students, I hope the exam went great! I just wanted to let you know that I will be giving extra homework if you solve and send me the exercises under the ""Optional work"" module in Canvas. If the exam was rough, this might help you. Have a nice weekend!",NA,NA,NA,NA,NA,NA
"12","D",16628,"2024-08-21 16:30:05","/api/v1/courses/16628/discussion_topics/2478/view?include_new_entries=1&include_enrollment_state=1&include_context_card_info=1",NA,NA,2478,"view","discussion_topics_api","Psychology","Extra points for extra work","2024-09-15 16:30:00","Dear students, I hope the exam went great! I just wanted to let you know that I will be giving extra homework if you solve and send me the exercises under the ""Optional work"" module in Canvas. If the exam was rough, this might help you. Have a nice weekend!",NA,NA,NA,NA,NA,NA
"13","B",10456,"2024-08-02 13:12:02","/courses/10456/files/687411",NA,NA,NA,"show","files","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","B",10456,"2024-08-03 14:00:35","/courses/10456/quizzes/798",NA,"798",NA,"show","quizzes/quizzes","Biology",NA,NA,NA,NA,NA,"keep_average","The human brain and its flaws","graded_survey","798"
"15","B",10987,"2024-08-03 14:00:01","/courses/10987/quizzes/746",NA,"746",NA,"show","quizzes/quizzes","Metaphysics",NA,NA,NA,NA,NA,"keep_highest","Optional quiz!","practice_quiz","746"
"16","B",10987,"2024-08-03 14:00:11","/courses/10987/quizzes/746",NA,"746",NA,"show","quizzes/quizzes","Metaphysics",NA,NA,NA,NA,NA,"keep_highest","Optional quiz!","practice_quiz","746"
"17","C",10456,"2024-07-29 02:35:03","/courses/10456/quizzes/798",NA,"798",NA,"show","quizzes/quizzes","Biology",NA,NA,NA,NA,NA,"keep_average","The human brain and its flaws","graded_survey","798"
"18","B",10456,"2024-08-02 13:08:04","/courses/10456/files/687411",NA,NA,NA,"show","files","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","D",10987,"2024-08-12 23:36:35","/courses/10987/assignments/444",444,NA,NA,"show","assignments","Metaphysics",NA,NA,NA,"Essay on the immortality of the soul","2024-03-27 23:59:59",NA,NA,NA,NA
"20","A",10456,"2024-08-20 12:59:20","/courses/10456/quizzes/798",NA,"798",NA,"show","quizzes/quizzes","Biology",NA,NA,NA,NA,NA,"keep_average","The human brain and its flaws","graded_survey","798"
"21","A",10456,"2024-08-20 12:59:20","/courses/10456/quizzes/798/submissions/backup?query_string_redacted",NA,NA,NA,"backup","quizzes/quiz_submission","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","B",10456,"2024-03-27 20:35:21","/courses/10456/assignments/428",428,NA,NA,"show","assignments","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","C",10456,"2024-03-29 20:32:26","/courses/10456/assignments/428",428,NA,NA,"show","assignments","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
